Country,Latitude,Longitude,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Ecuador,-1.831239,-78.183406,12.03792808,12.27264454,12.47642947,12.69928592,12.99311678,13.36359199,13.82842596,14.38561871,14.99559808,15.66291823,16.37156971
Egypt,26.820553,30.802498,17.32535891,17.93854367,18.52842135,19.20156154,19.86071155,20.58077874,21.35115385,22.21559104,23.11962155,24.07823872,25.05433589
El Salvador,13.794185,-88.89653,11.43687592,11.81293068,12.24758041,12.68461527,13.164978,13.70596429,14.32173257,14.95294346,15.64963867,16.40871382,17.23286303
Equatorial Guinea,1.650801,10.267895,60.41252496,62.20776162,64.1341298,66.13280029,68.14091281,70.29889716,72.39204743,74.67266158,76.98663971,79.37587619,82.00197672
Eritrea,15.179384,39.782334,30.4710988,31.32266678,32.1664528,33.07840722,33.98507513,34.89076795,35.84989031,36.88690963,37.96358871,39.14659585,40.32132026
Estonia,58.595272,25.013607,1.869637897,1.996524866,2.138074171,2.293830886,2.460368923,2.640812388,2.839069898,3.061219374,3.310979009,3.596303237,3.917744237
Ethiopia,9.145,40.489673,36.54901227,37.92847079,39.49162458,41.2419076,43.14328256,45.12277471,47.1981614,49.4539378,51.85113481,54.3012804,56.94375515
Fiji,-16.578193,179.414413,21.67701431,21.57341825,21.27775545,20.92329542,20.57861616,20.29801263,20.10272983,20.01971653,20.01489079,20.07420197,20.13495491
Finland,61.92411,25.748151,1.945579565,1.95733568,1.972407265,1.99498863,2.033536782,2.088226939,2.159415772,2.247394507,2.350540462,2.465200282,2.586061678
France,46.227638,2.213749,3.773530241,3.686930068,3.589783413,3.512395326,3.466263505,3.4548028,3.474878618,3.508886808,3.53857546,3.561727414,3.583758983
Gabon,-0.803689,11.609444,31.14586161,32.21138832,33.39280111,34.30691419,35.7800753,36.88374808,37.70294331,38.93996829,40.32080168,41.56171867,42.98297556
Gambia,13.443182,-15.310139,35.89288459,36.8204285,37.7964979,38.78783512,39.80323593,40.8320569,41.93115115,43.05945522,44.2430375,45.4809808,46.77753511
Georgia,42.315407,43.356892,8.527018692,8.719109312,8.904336665,9.104876388,9.362619193,9.712278598,10.1856145,10.81780508,11.63465115,12.6590819,13.89641968
Germany,51.165691,10.451526,3.218933237,3.251574908,3.272901243,3.286437339,3.297099796,3.311116311,3.332795696,3.365587169,3.412249505,3.471523485,3.543137312
Ghana,7.946527,-1.023194,33.89338301,34.95534706,36.13914096,37.41163405,38.75379552,40.23582139,41.75186177,43.44270836,45.20364534,46.99734274,48.8159547
Greece,39.074208,21.824312,3.307610318,3.537474296,3.744485504,3.863084907,3.878554659,3.800093751,3.665147509,3.532753381,3.455299017,3.435006788,3.456154601
Grenada,12.262776,-61.604171,14.68112905,14.72418083,14.65086177,14.47365756,14.2463218,14.01619824,13.76492147,13.52260249,13.2650573,13.03418975,12.84221769
Guatemala,15.783471,-90.230759,20.74751564,21.41352808,22.10282224,22.87000172,23.68131695,24.55016282,25.47146761,26.46902842,27.48609963,28.54651021,29.64161754
Guinea,9.945587,-9.696645,63.81979382,65.11028346,66.31240694,67.44978594,68.72330285,69.78436501,70.81837799,72.02659154,73.29811215,74.64311345,76.10385683
Guinea-Bissau,11.803749,-15.180413,52.32320629,53.9703072,55.56853464,57.28206626,59.22594059,61.18554933,63.46424753,65.99284538,68.80230377,71.86686171,75.18673881
Guyana,4.860416,-58.93018,24.43698142,25.21544879,25.94577896,26.65551477,27.36772508,28.10144927,28.77127065,29.3192789,29.90007149,30.45881707,30.99507828
Haiti,18.971187,-72.285215,48.2161935,49.42427758,50.6760894,51.90828777,53.21321587,54.34845055,55.49473249,56.64852657,57.80918742,85.40500102,60.1691516
Honduras,15.199999,-86.241905,14.45316929,14.93268302,15.39612009,15.94903122,16.48940985,17.0858696,17.68972617,18.3450575,19.05631673,19.81184212,20.62447375
Hungary,47.162494,19.503304,3.032795764,3.310397097,3.622308175,3.95573755,4.27460359,4.534601738,4.71084111,4.827600319,4.928694108,5.050276973,5.235286757
Iceland,64.963051,-19.020835,1.553076648,1.604187592,1.657723882,1.70795239,1.762153829,1.819100069,1.87526264,1.937067734,2.002791191,2.069225175,2.144414538
India,20.593684,78.96288,28.25677267,29.73260213,31.36071864,33.10629932,34.9424207,36.8504434,38.84164745,40.89297613,43.00152094,45.1392875,47.30489468
Indonesia,-0.789275,113.921327,20.24194248,20.9354136,21.67976632,22.47575906,23.29104948,24.17285884,25.07574714,26.00723332,26.95856515,27.96695874,29.01308995
Iran,32.427908,53.688046,11.99341286,12.42401781,12.85287118,13.32264368,13.81412214,14.33710503,14.89111107,15.4725254,16.11851016,16.85662175,17.67892831
Iraq,33.223191,43.679291,21.82842035,22.5071452,23.20491882,23.90152707,24.64591163,25.38992414,26.14729538,26.93767038,27.72840572,28.524844,29.30757845
Ireland,53.41291,-8.24389,2.829042475,2.919634418,3.012137969,3.103721554,3.18498084,3.258594415,3.32559745,3.390267261,3.458863614,3.537771469,3.634457261
Israel,31.046051,34.851612,2.968293338,3.014247709,3.057221064,3.103711998,3.159864116,3.233829447,3.321802503,3.42573562,3.541266942,3.665459102,3.794443794
